meal_id,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg,potassium_mg,vitamin_d_iu,b12_mcg,folate_mcg_dfe,magnesium_mg
B1,576.7,22.84,10.76,101.92,11.92,37.2,111.7,349.3,4.36,1133.0,127.2,1.08,80.8,200.4
B2,373.7,18.49,20.02,30.41,1.62,4.01,825.28,116.84,3.96,197.48,93.0,0.91,76.1,26.01
B3,348.0,12.12,5.4,62.52,1.8,27.0,315.6,360.0,7.44,480.0,247.2,1.98,132.0,44.4
B4,347.16,13.4,17.92,35.8,3.54,5.88,429.64,79.88,2.7,247.56,0.0,0.0,56.64,67.56
B5,228.8,8.32,6.96,37.0,3.12,23.8,93.2,248.0,0.56,739.6,0.0,0.74,38.0,54.4
B6,692.6,21.63,25.2,93.72,2.7,18.32,528.88,232.64,2.25,400.08,135.0,1.15,59.6,44.91
L1,508.35,20.54,33.87,30.2,1.62,3.31,668.85,500.4,2.58,131.4,23.4,0.52,40.05,30.9
L2,569.45,15.55,17.05,88.7,5.83,8.75,393.15,62.1,2.77,650.2,0.0,0.0,39.65,76.05
L3,624.3,16.82,11.51,111.77,10.31,4.63,1157.16,119.98,3.85,767.76,0.0,0.0,224.5,110.82
L4,259.65,26.87,2.79,31.26,1.96,3.84,567.4,83.25,3.31,299.65,0.0,2.89,36.85,40.45
L5,442.7,41.67,14.56,34.28,2.79,3.14,509.1,221.2,3.24,524.3,9.8,0.47,55.0,56.3
L6,414.7,17.27,17.79,49.86,2.16,3.19,2306.75,49.15,4.71,234.5,43.5,0.45,38.5,35.25
L7,514.6,20.64,32.25,35.49,2.55,3.51,863.7,492.2,2.45,233.2,20.4,0.51,35.1,35.0
D1,860.65,59.92,21.59,102.15,6.82,4.75,1286.45,115.45,4.68,951.45,7.5,0.45,77.75,107.75
D2,887.85,47.28,37.58,91.73,6.43,10.67,579.55,91.1,6.21,1131.9,6.0,3.0,54.15,106.45
D3,461.25,15.13,25.6,43.04,5.5,2.22,1040.21,322.48,2.29,1105.46,18.6,0.36,45.15,69.02
D4,374.65,15.4,11.54,53.89,14.74,13.21,907.25,197.45,7.17,1299.65,0.0,0.0,332.15,142.85
D5,918.7,28.65,26.42,139.65,6.46,6.3,1294.1,141.9,4.8,673.9,87.0,0.89,112.1,82.5
D6,631.5,34.5,32.45,53.5,7.25,6.5,1662.58,82.74,4.2,790.08,0.0,1.2,80.0,70.01
D7,653.45,33.0,16.7,94.99,23.46,13.11,860.41,138.13,9.85,1506.41,0.0,0.0,624.15,178.67
